oid;category
3340;3-?eská republika-void
988;3-?eská republika-Libverda
988;3-?eská republika-void
988;3-?eská republika, víkendové pobyty-Libverda
988;3-?eská republika, víkendové pobyty-void
2402;3-?eská republika-Libverda
2402;3-?eská republika-void
930;3-?eská republika-Libverda
930;3-?eská republika-void
930;3-?eská republika, víkendové pobyty-Libverda
930;3-?eská republika, víkendové pobyty-void
43;3-Slovensko-Tren?ianské Teplice
43;3-Slovensko-void
786;3-Slovensko-Tren?ianské Teplice
786;3-Slovensko-void
1588;3-Slovensko-Bojnice
1588;3-Slovensko-void
1745;3-?eská republika-Luha?ovice
1745;3-?eská republika-void
1587;3-Slovensko-Bojnice
1587;3-Slovensko-void
1589;3-Slovensko-Bojnice
1589;3-Slovensko-void
1590;3-Slovensko-Bojnice
1590;3-Slovensko-void
739;3-?eská republika-Karlovy Vary
739;3-?eská republika-void
3129;3-?eská republika-Karlovy Vary
3129;3-?eská republika-void
2123;3-?eská republika-Karlovy Vary
2123;3-?eská republika-void
1080;3-?eská republika-Karlovy Vary
1080;3-?eská republika-void
1080;3-?eská republika, víkendové pobyty-Karlovy Vary
1080;3-?eská republika, víkendové pobyty-void
737;3-?eská republika-Karlovy Vary
737;3-?eská republika-void
933;3-Slovensko-Nový Smokovec
933;3-Slovensko-void
290;3-Slovensko-Velký Meder
290;3-Slovensko-void
3128;3-?eská republika-Jeseníky
3128;3-?eská republika-void
3125;3-?eská republika-Jeseníky
3125;3-?eská republika-void
1787;3-?eská republika-Jeseníky
1787;3-?eská republika-void
1571;3-?eská republika-Jeseníky
1571;3-?eská republika-void
2759;3-?eská republika-T?ebo?
2759;3-?eská republika-void
2758;3-?eská republika-T?ebo?
2758;3-?eská republika-void
2184;3-?eská republika-Teplice nad Be?vou
2184;3-?eská republika-void
2186;3-?eská republika-Teplice nad Be?vou
2186;3-?eská republika-void
2701;3-?eská republika-Teplice nad Be?vou
2701;3-?eská republika-void
3094;3-?eská republika-Teplice nad Be?vou
3094;3-?eská republika-void
2190;3-?eská republika-Teplice nad Be?vou
2190;3-?eská republika-void
2172;3-?eská republika-Františkovy Lázn?
2172;3-?eská republika-void
2175;3-?eská republika-Františkovy Lázn?
2175;3-?eská republika-void
2176;3-?eská republika-Františkovy Lázn?
2176;3-?eská republika-void
1824;3-Slovensko-Nový Smokovec
1824;3-Slovensko-void
3143;3-Slovensko-Nový Smokovec
3143;3-Slovensko-void
3144;3-Slovensko-Nový Smokovec
3144;3-Slovensko-void
796;3-?eská republika-Karlovy Vary
796;3-?eská republika-void
733;3-?eská republika-Karlovy Vary
733;3-?eská republika-void
733;3-?eská republika, víkendové pobyty-Karlovy Vary
733;3-?eská republika, víkendové pobyty-void
2017;3-Slovensko-Rajecké Teplice
2017;3-Slovensko-void
2010;3-Slovensko-Rajecké Teplice
2010;3-Slovensko-void
2011;3-Slovensko-Rajecké Teplice
2011;3-Slovensko-void
2007;3-Slovensko-Rajecké Teplice
2007;3-Slovensko-void
2009;3-Slovensko-Rajecké Teplice
2009;3-Slovensko-void
2018;3-Slovensko-Rajecké Teplice
2018;3-Slovensko-void
2762;3-?eská republika-Františkovy Lázn?
2762;3-?eská republika-void
2016;3-Slovensko-Rajecké Teplice
2016;3-Slovensko-void
2005;3-Slovensko-Rajecké Teplice
2005;3-Slovensko-void
2004;3-Slovensko-Rajecké Teplice
2004;3-Slovensko-void
3362;3-Slovensko-Dunajská Streda
3362;3-Slovensko-void
2687;3-Slovensko-Dunajská Streda
2687;3-Slovensko-void
2705;3-Slovensko-Dunajská Streda
2705;3-Slovensko-void
1154;3-?eská republika-Luha?ovice
1154;3-?eská republika-void
2465;3-?eská republika-Luha?ovice
2465;3-?eská republika-void
1152;3-?eská republika-Luha?ovice
1152;3-?eská republika-void
1153;3-?eská republika-Luha?ovice
1153;3-?eská republika-void
2855;3-?eská republika-Lázn? Mšené
2855;3-?eská republika-void
2857;3-?eská republika-Lázn? Mšené
2857;3-?eská republika-void
2854;3-?eská republika-Lázn? Mšené
2854;3-?eská republika-void
490;3-?eská republika-Luha?ovice
490;3-?eská republika-void
1157;3-?eská republika-Luha?ovice
1157;3-?eská republika-void
2427;3-?eská republika-Luha?ovice
2427;3-?eská republika-void
2366;3-?eská republika-Luha?ovice
2366;3-?eská republika-void
3100;3-?eská republika-Františkovy Lázn?
3100;3-?eská republika-void
2136;3-?eská republika-Františkovy Lázn?
2136;3-?eská republika-void
1496;3-?eská republika-Konstantinovy Lázn?
1496;3-?eská republika-void
1788;3-?eská republika-Konstantinovy Lázn?
1788;3-?eská republika-void
1499;3-?eská republika-Konstantinovy Lázn?
1499;3-?eská republika-void
1499;3-?eská republika, víkendové pobyty-Konstantinovy Lázn?
1499;3-?eská republika, víkendové pobyty-void
1497;3-?eská republika-Konstantinovy Lázn?
1497;3-?eská republika-void
1203;3-?eská republika-Pod?brady
1203;3-?eská republika-void
594;3-?eská republika-Chodová Planá
594;3-?eská republika-void
925;3-?eská republika-Janské lázn?
925;3-?eská republika-void
1530;3-?eská republika-Janské lázn?
1530;3-?eská republika-void
927;3-?eská republika-Janské lázn?
927;3-?eská republika-void
927;3-?eská republika, víkendové pobyty-Janské lázn?
927;3-?eská republika, víkendové pobyty-void
928;3-?eská republika-Janské lázn?
928;3-?eská republika-void
1775;3-?eská republika-Karlovy Vary
1775;3-?eská republika-void
3098;3-?eská republika-Karlovy Vary
3098;3-?eská republika-void
3099;3-?eská republika-Karlovy Vary
3099;3-?eská republika-void
3366;3-Slovensko-Velký Meder
3366;3-Slovensko-void
3371;3-Slovensko-Velký Meder
3371;3-Slovensko-void
3372;3-Slovensko-Velký Meder
3372;3-Slovensko-void
376;3-Slovensko-Podhájska
376;3-Slovensko-void
3120;3-Slovensko-Podhájska
3120;3-Slovensko-void
3122;3-Slovensko-Podhájska
3122;3-Slovensko-void
3123;3-Slovensko-Podhájska
3123;3-Slovensko-void
591;3-Slovensko-Velký Meder
591;3-Slovensko-void
327;3-Slovensko-Podhájska
327;3-Slovensko-void
1754;3-Slovensko-Bojnice
1754;3-Slovensko-void
1813;3-Slovensko-Bojnice
1813;3-Slovensko-void
295;3-Slovensko-Dudince
295;3-Slovensko-void
592;3-Slovensko-Dudince
592;3-Slovensko-void
2033;3-Slovensko-Pieš?any
2033;3-Slovensko-void
2035;3-Slovensko-Pieš?any
2035;3-Slovensko-void
1629;3-Slovensko-Tren?ianské Teplice
1629;3-Slovensko-void
620;3-Slovensko-Tren?ianské Teplice
620;3-Slovensko-void
288;3-Slovensko-Skelné Teplice
288;3-Slovensko-void
1064;3-Slovensko-Skelné Teplice
1064;3-Slovensko-void
1869;7-Slovensko-Vysoké Tatry
